geoid_o,geoid_d,visitor_flows,lng_o,lat_d,date_range
TH,17,8,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
TR,17,4,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
TT,17,8,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
TW,17,12,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
TZ,17,4,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
UA,17,51,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
UZ,17,8,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
VN,17,4,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
AE,18,4,-86.28183838774677,39.919869617318085,06/01/20 - 06/07/20
AU,18,12,-86.28183838774677,39.919869617318085,06/01/20 - 06/07/20
BR,18,4,-86.28183838774677,39.919869617318085,06/01/20 - 06/07/20
CA,18,832,-86.28183838774677,39.919869617318085,06/01/20 - 06/07/20
CO,18,16,-86.28183838774677,39.919869617318085,06/01/20 - 06/07/20
EC,18,8,-86.28183838774677,39.919869617318085,06/01/20 - 06/07/20
GH,18,4,-86.28183838774677,39.919869617318085,06/01/20 - 06/07/20
HN,18,4,-86.28183838774677,39.919869617318085,06/01/20 - 06/07/20
IQ,18,12,-86.28183838774677,39.919869617318085,06/01/20 - 06/07/20
JO,18,4,-86.28183838774677,39.919869617318085,06/01/20 - 06/07/20
JP,18,8,-86.28183838774677,39.919869617318085,06/01/20 - 06/07/20
KE,18,4,-86.28183838774677,39.919869617318085,06/01/20 - 06/07/20
MX,18,252,-86.28183838774677,39.919869617318085,06/01/20 - 06/07/20
NG,18,20,-86.28183838774677,39.919869617318085,06/01/20 - 06/07/20
NZ,18,8,-86.28183838774677,39.919869617318085,06/01/20 - 06/07/20
PH,18,8,-86.28183838774677,39.919869617318085,06/01/20 - 06/07/20
PK,18,24,-86.28183838774677,39.919869617318085,06/01/20 - 06/07/20
TR,18,4,-86.28183838774677,39.919869617318085,06/01/20 - 06/07/20
UZ,18,8,-86.28183838774677,39.919869617318085,06/01/20 - 06/07/20
AE,21,4,-85.29055223275348,37.5266141736611,06/01/20 - 06/07/20
BY,21,8,-85.29055223275348,37.5266141736611,06/01/20 - 06/07/20
CA,21,374,-85.29055223275348,37.5266141736611,06/01/20 - 06/07/20
CR,21,4,-85.29055223275348,37.5266141736611,06/01/20 - 06/07/20
IR,21,4,-85.29055223275348,37.5266141736611,06/01/20 - 06/07/20
JP,21,8,-85.29055223275348,37.5266141736611,06/01/20 - 06/07/20
KE,21,9,-85.29055223275348,37.5266141736611,06/01/20 - 06/07/20
MX,21,199,-85.29055223275348,37.5266141736611,06/01/20 - 06/07/20
NG,21,16,-85.29055223275348,37.5266141736611,06/01/20 - 06/07/20
QA,21,4,-85.29055223275348,37.5266141736611,06/01/20 - 06/07/20
SO,21,4,-85.29055223275348,37.5266141736611,06/01/20 - 06/07/20
AE,22,42,-91.81423318426776,30.909072897746587,06/01/20 - 06/07/20
AF,22,4,-91.81423318426776,30.909072897746587,06/01/20 - 06/07/20
BR,22,8,-91.81423318426776,30.909072897746587,06/01/20 - 06/07/20
CA,22,58,-91.81423318426776,30.909072897746587,06/01/20 - 06/07/20
CO,22,8,-91.81423318426776,30.909072897746587,06/01/20 - 06/07/20
CU,22,4,-91.81423318426776,30.909072897746587,06/01/20 - 06/07/20
GH,22,8,-91.81423318426776,30.909072897746587,06/01/20 - 06/07/20
GT,22,32,-91.81423318426776,30.909072897746587,06/01/20 - 06/07/20
IO,22,4,-91.81423318426776,30.909072897746587,06/01/20 - 06/07/20
KR,22,4,-91.81423318426776,30.909072897746587,06/01/20 - 06/07/20
MR,22,4,-91.81423318426776,30.909072897746587,06/01/20 - 06/07/20
MX,22,381,-91.81423318426776,30.909072897746587,06/01/20 - 06/07/20
